segment,n_queries,control_ndcg,treatment_ndcg,delta,cohens_d,effect_size,p_value,stat_sig,prac_sig
No relevant docs,72,0.0,0.0,0.0,0.0,Negligible,,False,False
Slightly relevant only,649,0.28468126545846667,0.4500265082852188,0.16534524282675211,0.708124585426966,Medium,3.824618296562722e-35,True,True
Few highly relevant,664,0.2319856623474255,0.5124601614914942,0.28047449914406875,1.493827231098742,Large,8.183966646470205e-130,True,True
Many highly relevant,615,0.19405653448940272,0.49324151195819504,0.29918497746879236,1.952698877727693,Large,9.687754766634672e-181,True,True
