,ndcg@10,mrr,p@1,frustration_rate,hit@3_highly_rel
Random Ranking,0.1847498894824415,0.5973243379240007,0.4275,0.2715,0.0735
BM25 (f75),0.229070694896109,0.6172143010257247,0.4555,0.262,0.076
LightGBM Pointwise,0.4675524455171264,0.8338265236428376,0.7655,0.1105,0.3655
LambdaMART,0.4678421404808745,0.8319797758591797,0.763,0.111,0.3745
CNN Ranker,0.3323668008172135,0.7707372453203493,0.6585,0.1255,0.142
LSTM Ranker,0.17385242839816842,0.5793505112491447,0.3955,0.2765,0.034
