,ndcg@10,mrr,p@1,frustration_rate,hit@3_highly_rel
Random Ranking,0.1847498894824415,0.5973243379240007,0.4275,0.2715,0.0735
BM25 (f75),0.22907069489610904,0.6172143010257247,0.4555,0.262,0.076
